,Date,Type,Total,Total for Shares,Price per share
1021,May 10,Sunrun Market BuyMay 10,$43.151 share at $43.15,$43.15,$43.15
1022,May 10,Plug Power Market BuyMay 10,$21.661 share at $21.66,$21.66,$21.66
1023,May 10,Plug Power Market BuyMay 10,$21.731 share at $21.73,$21.73,$21.73
1024,May 10,Uber Market BuyMay 10,$46.561 share at $46.56,$46.56,$46.56
1025,May 10,Ballard Power Systems Market BuyMay 10,$14.701 share at $14.70,$14.70,$14.70
1026,May 10,Airbnb Market BuyMay 10,$37.570.25 shares at $150.28,$37.570.25,$150.28
1027,May 10,Plug Power Market BuyMay 10,$22.051 share at $22.05,$22.05,$22.05
1028,May 7,Airbnb Market BuyMay 7,$37.630.25 shares at $150.52,$37.630.25,$150.52
1029,May 7,Skyworks Market BuyMay 7,$87.610.5 shares at $175.22,$87.610.5,$175.22
1030,May 7,Clean Energy Fuels Market BuyMay 7,$92.5010 shares at $9.25,$92.5010,$9.25
1031,May 7,Gores Holdings VI Market BuyMay 7,$116.5010 shares at $11.65,$116.5010,$11.65
1032,May 7,Airbnb Market BuyMay 7,$155.361 share at $155.36,$155.36,$155.36
1033,May 6,Clean Energy Fuels Market BuyMay 6,$48.905 shares at $9.78,$48.905,$9.78
1034,May 6,Etsy Market BuyMay 6,$38.800.25 shares at $155.20,$38.800.25,$155.20
1035,May 6,Roblox Market BuyMay 6,$65.681 share at $65.68,$65.68,$65.68
1036,May 6,Etsy Market BuyMay 6,$39.590.25 shares at $158.36,$39.590.25,$158.36
1037,May 6,Plug Power Market BuyMay 6,$21.921 share at $21.92,$21.92,$21.92
1038,May 6,Bloom Energy Market BuyMay 6,$101.095 shares at $20.22,$101.095,$20.22
1039,May 6,Velodyne Lidar Market BuyMay 6,$12.161 share at $12.16,$12.16,$12.16
1040,May 6,Gores Holdings VI Market BuyMay 6,$34.943 shares at $11.65,$34.943,$11.65
1041,May 6,Plug Power Market BuyMay 6,$22.701 share at $22.70,$22.70,$22.70
1042,May 5,Etsy Limit BuyMay 5,$171.001 share at $171.00,$171.00,$171.00
1043,May 5,Plug Power Limit BuyMay 5,$243.0010 shares at $24.30,$243.0010,$24.30
1044,May 5,Etsy Limit BuyMay 5,Canceled,,
1045,May 5,Uber Limit BuyMay 5,$51.691 share at $51.69,$51.69,$51.69
1046,May 5,Gores Holdings VI Market BuyMay 5,$60.435 shares at $12.09,$60.435,$12.09
1047,May 5,Ballard Power Systems Market BuyMay 5,$63.404 shares at $15.85,$63.404,$15.85
1048,May 5,Hyliion Market BuyMay 5,$45.905 shares at $9.18,$45.905,$9.18
1049,May 4,Desktop Metal Market BuyMay 4,$60.205 shares at $12.04,$60.205,$12.04
1050,May 4,Ballard Power Systems Market BuyMay 4,$49.263 shares at $16.42,$49.263,$16.42
1051,May 4,Bloom Energy Market BuyMay 4,$113.505 shares at $22.70,$113.505,$22.70
1052,May 4,Plug Power Market BuyMay 4,$121.805 shares at $24.36,$121.805,$24.36
1053,May 4,Hyliion Market BuyMay 4,$46.205 shares at $9.24,$46.205,$9.24
1054,May 4,Cummins Limit BuyMay 4,$247.751 share at $247.75,$247.75,$247.75
1055,May 4,Velodyne Lidar Market BuyMay 4,$61.185 shares at $12.24,$61.185,$12.24
1056,May 4,Ballard Power Systems Market BuyMay 4,$49.833 shares at $16.61,$49.833,$16.61
1057,May 4,Gores Holdings VI Market BuyMay 4,$24.192 shares at $12.10,$24.192,$12.10
1058,May 4,Plug Power Market BuyMay 4,$24.761 share at $24.76,$24.76,$24.76
1059,May 3,Desktop Metal Market BuyMay 3,$64.945 shares at $12.99,$64.945,$12.99
1060,May 3,Plug Power Market BuyMay 3,$132.305 shares at $26.46,$132.305,$26.46
1061,May 3,Bloom Energy Market BuyMay 3,$124.855 shares at $24.97,$124.855,$24.97
1062,May 3,Hyliion Limit BuyMay 3,$45.005 shares at $9.00,$45.005,$9.00
1063,Apr 30,Hyliion Market BuyApr 30,$52.205 shares at $10.44,$52.205,$10.44
1064,Apr 29,Velodyne Lidar Market BuyApr 29,$70.245 shares at $14.05,$70.245,$14.05
1065,Apr 29,Clean Energy Fuels Market BuyApr 29,$56.335 shares at $11.27,$56.335,$11.27
1066,Apr 29,Merck Market BuyApr 29,$73.051 share at $73.05,$73.05,$73.05
1067,Apr 29,Hyliion Market BuyApr 29,$53.005 shares at $10.60,$53.005,$10.60
1068,Apr 29,Withdrawal to TD CONVENIENCE CHECKINGApr 29,"-$5,000.00",,
1069,Apr 29,Taiwan Semiconductor Manufacturing Market BuyApr 29,$58.860.5 shares at $117.72,$58.860.5,$117.72
1070,Apr 29,Airbnb Market BuyApr 29,$86.890.5 shares at $173.78,$86.890.5,$173.78
1071,Apr 29,Tesla Market BuyApr 29,$67.680.1 shares at $676.80,$67.680.1,$676.80
1072,Apr 29,Hyliion Limit BuyApr 29,$51.255 shares at $10.25,$51.255,$10.25
1073,Apr 20,Ballard Power Systems Market BuyApr 20,$96.555 shares at $19.31,$96.555,$19.31
1074,Apr 19,Plug Power Market BuyApr 19,$100.564 shares at $25.14,$100.564,$25.14
1075,Apr 19,Bloom Energy Market BuyApr 19,$22.221 share at $22.22,$22.22,$22.22
1076,Apr 19,Ballard Power Systems Market BuyApr 19,$100.895 shares at $20.18,$100.895,$20.18
1077,Apr 19,Bloom Energy Market BuyApr 19,$90.774 shares at $22.69,$90.774,$22.69
1078,Apr 19,Gores Holdings VI Market BuyApr 19,$60.135 shares at $12.03,$60.135,$12.03
1079,Apr 19,Plug Power Market BuyApr 19,$51.742 shares at $25.87,$51.742,$25.87
1080,Apr 15,Plug Power Market BuyApr 15,$26.191 share at $26.19,$26.19,$26.19
1081,Apr 13,Gores Holdings VI Market BuyApr 13,$13.021 share at $13.02,$13.02,$13.02
1082,Apr 13,Plug Power Market BuyApr 13,$28.311 share at $28.31,$28.31,$28.31
1083,Apr 12,Plug Power Market BuyApr 12,$29.171 share at $29.17,$29.17,$29.17
1084,Apr 7,Plug Power Market BuyApr 7,$50.311.5 shares at $33.54,$50.311.5,$33.54
1085,Apr 6,Snowflake Market SellApr 6,$116.770.5 shares at $233.54,$116.770.5,$233.54
1086,Apr 6,Clover Health Investments Market SellApr 6,$15.002 shares at $7.50,$15.002,$7.50
1087,Apr 6,AMD Market SellApr 6,$102.001.25 shares at $81.60,$102.001.25,$81.60
1088,Apr 5,Taiwan Semiconductor Manufacturing Market SellApr 5,$124.051 share at $124.05,$124.05,$124.05
1089,Apr 5,Skyworks Market SellApr 5,$57.480.3 shares at $191.60,$57.480.3,$191.60
1090,Apr 5,NVIDIA Market SellApr 5,$391.850.7 shares at $559.79,$391.850.7,$559.79
1091,Apr 5,Azul Airlines Market SellApr 5,$230.6811 shares at $20.97,$230.6811,$20.97
1092,Apr 5,Autodesk Market SellApr 5,$173.250.6 shares at $288.75,$173.250.6,$288.75
1093,Apr 5,ANSYS Market SellApr 5,$289.710.8 shares at $362.14,$289.710.8,$362.14
1094,Apr 5,Amazon Market SellApr 5,"$968.300.3 shares at $3,227.67",$968.300.3,"$3,227.67"
1095,Apr 5,Alphabet Class C Market SellApr 5,"$111.690.05 shares at $2,233.80",$111.690.05,"$2,233.80"
1096,Apr 5,Apple Market SellApr 5,$126.101 share at $126.10,$126.10,$126.10
1097,Apr 5,American Tower Market SellApr 5,$303.011.25 shares at $242.41,$303.011.25,$242.41
1098,Apr 5,Microsoft Market SellApr 5,$249.481 share at $249.48,$249.48,$249.48
1099,Apr 5,Merck Market SellApr 5,$77.041 share at $77.04,$77.04,$77.04
1100,Apr 5,Tesla Market SellApr 5,$409.100.585 shares at $699.32,$409.100.585,$699.32
1101,Apr 5,American Electric Power Market SellApr 5,$258.273 shares at $86.09,$258.273,$86.09
1102,Apr 5,Cisco Systems Market SellApr 5,$52.611 share at $52.61,$52.61,$52.61
1103,Apr 5,UPS Market SellApr 5,$43.080.25 shares at $172.32,$43.080.25,$172.32
1104,Apr 5,Verizon Market SellApr 5,$587.6010 shares at $58.76,$587.6010,$58.76
1105,Apr 5,Kellogg Market SellApr 5,$63.451 share at $63.45,$63.45,$63.45
1106,Apr 5,National Grid Market SellApr 5,$89.991.5 shares at $59.99,$89.991.5,$59.99
1107,Apr 5,Consolidated Edison Market SellApr 5,$263.203.5 shares at $75.20,$263.203.5,$75.20
1108,Apr 5,Dominion Energy Market SellApr 5,$686.979 shares at $76.33,$686.979,$76.33
1109,Apr 5,Pinnacle West Market SellApr 5,$288.023.5 shares at $82.29,$288.023.5,$82.29
1110,Apr 5,PPL Market SellApr 5,$143.555 shares at $28.71,$143.555,$28.71
1111,Apr 5,Evergy Market SellApr 5,$301.675 shares at $60.33,$301.675,$60.33
1112,Apr 5,Entergy Market SellApr 5,$703.937 shares at $100.56,$703.937,$100.56
1113,Apr 5,Sempra Market SellApr 5,$669.305 shares at $133.86,$669.305,$133.86
1114,Apr 5,Eversource Market SellApr 5,$261.873 shares at $87.29,$261.873,$87.29
1115,Apr 5,Atmos Energy Market SellApr 5,$344.033.5 shares at $98.29,$344.033.5,$98.29
1116,Apr 5,FirstEnergy Market SellApr 5,$183.865.3 shares at $34.69,$183.865.3,$34.69
1117,Apr 5,NiSource Market SellApr 5,$170.387 shares at $24.34,$170.387,$24.34
1118,Apr 5,NextEra Energy Market SellApr 5,$153.622 shares at $76.81,$153.622,$76.81
1119,Apr 5,McCormick Market SellApr 5,$133.671.5 shares at $89.11,$133.671.5,$89.11
1120,Apr 5,Procter & Gamble Market SellApr 5,$286.992.1 shares at $136.66,$286.992.1,$136.66
1121,Apr 5,Kimberly-Clark Market SellApr 5,$234.791.7 shares at $138.11,$234.791.7,$138.11
1122,Apr 5,Air Products & Chemicals Market SellApr 5,$433.531.5 shares at $289.02,$433.531.5,$289.02
1123,Apr 5,Costco Market SellApr 5,"$1,464.234.05 shares at $361.54","$1,464.234.05",$361.54
1124,Apr 5,Linde Market SellApr 5,$285.501 share at $285.50,$285.50,$285.50
1125,Apr 5,Utilities Select Sector SPDR Fund Market SellApr 5,"$1,356.6021 shares at $64.60","$1,356.6021",$64.60
1126,Apr 5,Pfizer Market SellApr 5,$543.8115 shares at $36.25,$543.8115,$36.25
1127,Apr 5,Johnson & Johnson Market SellApr 5,$163.041 share at $163.04,$163.04,$163.04
1128,Apr 5,Qualcomm Market SellApr 5,$245.441.75 shares at $140.25,$245.441.75,$140.25
1129,Apr 5,Akamai Market SellApr 5,$285.392.75 shares at $103.78,$285.392.75,$103.78
1130,Apr 5,Adobe Market SellApr 5,$395.430.8 shares at $494.29,$395.430.8,$494.29
1131,Mar 29,Plug Power Market BuyMar 29,$31.191 share at $31.19,$31.19,$31.19
1132,Mar 25,IdaCorp Market SellMar 25,$59.980.6 shares at $99.97,$59.980.6,$99.97
1133,Mar 25,Plug Power Market BuyMar 25,$102.173 shares at $34.06,$102.173,$34.06
1134,Mar 25,Plug Power Market BuyMar 25,$34.091 share at $34.09,$34.09,$34.09
1135,Mar 23,Taiwan Semiconductor Manufacturing Market BuyMar 23,$51.880.45 shares at $115.29,$51.880.45,$115.29
1136,Mar 23,Qualcomm Market BuyMar 23,$33.050.25 shares at $132.20,$33.050.25,$132.20
1137,Mar 23,Plug Power Market BuyMar 23,$37.471 share at $37.47,$37.47,$37.47
1138,Mar 23,Gores Holdings VI Market BuyMar 23,$45.153 shares at $15.05,$45.153,$15.05
1139,Mar 22,Kellogg Market SellMar 22,$84.161.35 shares at $62.34,$84.161.35,$62.34
1140,Mar 22,Home Depot Market SellMar 22,$260.650.9 shares at $289.61,$260.650.9,$289.61
1141,Mar 22,Best Buy Market SellMar 22,$60.550.5 shares at $121.10,$60.550.5,$121.10
1142,Mar 22,AutoZone Market SellMar 22,"$267.550.2 shares at $1,337.75",$267.550.2,"$1,337.75"
1143,Mar 18,NextEra Energy Market BuyMar 18,$35.450.5 shares at $70.90,$35.450.5,$70.90
1144,Mar 17,Plug Power Market BuyMar 17,$18.390.5 shares at $36.78,$18.390.5,$36.78
1145,Mar 9,Azul Airlines Market BuyMar 9,$18.401 share at $18.40,$18.40,$18.40
1146,Mar 5,Autodesk Market BuyMar 5,$25.990.1 shares at $259.90,$25.990.1,$259.90
1147,Mar 5,American Tower Market BuyMar 5,$49.580.25 shares at $198.32,$49.580.25,$198.32
1148,Mar 5,Costco Market BuyMar 5,$309.401 share at $309.40,$309.40,$309.40
1149,Mar 5,Deposit from Checking (non-interest)Mar 5,$500.00,,
1150,Mar 5,Costco Market BuyMar 5,$46.670.15 shares at $311.13,$46.670.15,$311.13
1151,Mar 5,Costco Market BuyMar 5,$31.130.1 shares at $311.30,$31.130.1,$311.30
1152,Mar 5,Costco Market BuyMar 5,$31.140.1 shares at $311.40,$31.140.1,$311.40
1153,Mar 5,Adobe Market BuyMar 5,$43.860.1 shares at $438.60,$43.860.1,$438.60
1154,Mar 5,Costco Market BuyMar 5,$31.420.1 shares at $314.20,$31.420.1,$314.20
1155,Mar 5,Azul Airlines Market BuyMar 5,$100.545 shares at $20.11,$100.545,$20.11
1156,Mar 4,Tesla Market BuyMar 4,$61.930.1 shares at $619.30,$61.930.1,$619.30
1157,Mar 4,ANSYS Market BuyMar 4,$30.670.1 shares at $306.70,$30.670.1,$306.70
1158,Mar 4,ANSYS Market BuyMar 4,$62.720.2 shares at $313.60,$62.720.2,$313.60
1159,Mar 4,Tesla Market BuyMar 4,$62.430.1 shares at $624.30,$62.430.1,$624.30
1160,Mar 4,Gores Holdings VI Market BuyMar 4,$12.641 share at $12.64,$12.64,$12.64
1161,Mar 4,Deposit from Checking (non-interest)Mar 4,$500.00,,
1162,Mar 4,Apple Market BuyMar 4,$60.280.5 shares at $120.56,$60.280.5,$120.56
1163,Mar 4,Taiwan Semiconductor Manufacturing Market BuyMar 4,$29.460.25 shares at $117.84,$29.460.25,$117.84
1164,Mar 4,Amazon Market BuyMar 4,"$299.040.1 shares at $2,990.40",$299.040.1,"$2,990.40"
1165,Mar 4,AMD Market BuyMar 4,$19.720.25 shares at $78.88,$19.720.25,$78.88
1166,Mar 4,Snowflake Market BuyMar 4,$23.650.1 shares at $236.50,$23.650.1,$236.50
1167,Mar 4,NVIDIA Market BuyMar 4,$49.630.1 shares at $496.30,$49.630.1,$496.30
1168,Mar 3,Tesla Market BuyMar 3,$6.540.01 shares at $654.00,$6.540.01,$654.00
1169,Mar 3,Tesla Market BuyMar 3,$66.500.1 shares at $665.00,$66.500.1,$665.00
1170,Mar 3,AT&T Market SellMar 3,$28.821 share at $28.82,$28.82,$28.82
1171,Mar 3,FLY Leasing Market SellMar 3,$42.834 shares at $10.71,$42.834,$10.71
1172,Mar 3,Akamai Market BuyMar 3,$23.320.25 shares at $93.28,$23.320.25,$93.28
1173,Mar 3,Alphabet Class C Market BuyMar 3,"$101.920.05 shares at $2,038.40",$101.920.05,"$2,038.40"
1174,Mar 3,NVIDIA Market BuyMar 3,$51.770.1 shares at $517.70,$51.770.1,$517.70
1175,Mar 3,Steelcase Market SellMar 3,$7.270.5 shares at $14.54,$7.270.5,$14.54
1176,Mar 3,Adobe Market BuyMar 3,$45.290.1 shares at $452.90,$45.290.1,$452.90
1177,Mar 3,NVIDIA Market BuyMar 3,$52.190.1 shares at $521.90,$52.190.1,$521.90
1178,Mar 3,Cummins Market SellMar 3,$259.801 share at $259.80,$259.80,$259.80
1179,Mar 3,Deposit from Checking (non-interest)Mar 3,$500.00,,
1180,Mar 3,Home Depot Market BuyMar 3,$128.490.5 shares at $256.98,$128.490.5,$256.98
1181,Mar 3,American Tower Market BuyMar 3,$102.430.5 shares at $204.86,$102.430.5,$204.86
1182,Mar 3,Utilities Select Sector SPDR Fund Market BuyMar 3,$58.441 share at $58.44,$58.44,$58.44
1183,Mar 3,Autodesk Market BuyMar 3,$40.900.15 shares at $272.67,$40.900.15,$272.67
1184,Mar 3,Kellogg Market BuyMar 3,$5.700.1 shares at $57.00,$5.700.1,$57.00
1185,Mar 3,McCormick Market BuyMar 3,$8.370.1 shares at $83.70,$8.370.1,$83.70
1186,Mar 3,Kimberly-Clark Market BuyMar 3,$12.890.1 shares at $128.90,$12.890.1,$128.90
1187,Mar 3,Procter & Gamble Market BuyMar 3,$12.290.1 shares at $122.90,$12.290.1,$122.90
1188,Mar 3,Costco Market BuyMar 3,$32.590.1 shares at $325.90,$32.590.1,$325.90
1189,Mar 3,Utilities Select Sector SPDR Fund Market BuyMar 3,$294.305 shares at $58.86,$294.305,$58.86
1190,Mar 3,Microsoft Market BuyMar 3,$115.600.5 shares at $231.20,$115.600.5,$231.20
1191,Mar 3,Snowflake Market BuyMar 3,$77.650.3 shares at $258.83,$77.650.3,$258.83
1192,Mar 3,Qualcomm Market BuyMar 3,$33.810.25 shares at $135.24,$33.810.25,$135.24
1193,Mar 3,Akamai Market BuyMar 3,$23.690.25 shares at $94.76,$23.690.25,$94.76
1194,Mar 3,ANSYS Market BuyMar 3,$81.840.25 shares at $327.36,$81.840.25,$327.36
1195,Mar 3,NVIDIA Market BuyMar 3,$53.160.1 shares at $531.60,$53.160.1,$531.60
1196,Mar 3,Deposit from Checking (non-interest)Mar 3,"$1,000.00",,
1197,Mar 2,FLY Leasing Market BuyMar 2,$40.364 shares at $10.09,$40.364,$10.09
1198,Mar 2,NVIDIA Market BuyMar 2,$53.650.1 shares at $536.50,$53.650.1,$536.50
1199,Mar 2,Tesla Market BuyMar 2,$103.160.15 shares at $687.73,$103.160.15,$687.73
1200,Mar 2,NVIDIA Market BuyMar 2,$54.470.1 shares at $544.70,$54.470.1,$544.70
1201,Mar 2,Home Depot Market BuyMar 2,$104.150.4 shares at $260.38,$104.150.4,$260.38
1202,Mar 2,American Tower Market BuyMar 2,$104.430.5 shares at $208.86,$104.430.5,$208.86
1203,Mar 2,ANSYS Market BuyMar 2,$84.600.25 shares at $338.40,$84.600.25,$338.40
1204,Mar 2,Azul Airlines Market BuyMar 2,$61.533 shares at $20.51,$61.533,$20.51
1205,Mar 2,Entergy Market BuyMar 2,$87.411 share at $87.41,$87.41,$87.41
1206,Mar 1,American Tower Limit BuyMar 1,Canceled,,
1207,Feb 26,Kimberly-Clark Stop Loss SellFeb 26,Canceled,,
1208,Feb 26,Costco Stop Loss SellFeb 26,Canceled,,
1209,Feb 26,Dominion Energy Market BuyFeb 26,$75.931.1 shares at $69.03,$75.931.1,$69.03
1210,Feb 26,Utilities Select Sector SPDR Fund Market BuyFeb 26,$117.972 shares at $58.99,$117.972,$58.99
1211,Feb 26,Skyworks Market BuyFeb 26,$52.270.3 shares at $174.23,$52.270.3,$174.23
1212,Feb 26,Taiwan Semiconductor Manufacturing Market BuyFeb 26,$36.920.3 shares at $123.07,$36.920.3,$123.07
1213,Feb 26,Amazon Market BuyFeb 26,"$304.400.1 shares at $3,044.00",$304.400.1,"$3,044.00"
1214,Feb 26,Akamai Market BuyFeb 26,$23.660.25 shares at $94.64,$23.660.25,$94.64
1215,Feb 26,Qualcomm Market BuyFeb 26,$33.710.25 shares at $134.84,$33.710.25,$134.84
1216,Feb 26,Linde Market BuyFeb 26,$49.100.2 shares at $245.50,$49.100.2,$245.50
1217,Feb 26,Adobe Market BuyFeb 26,$91.910.2 shares at $459.55,$91.910.2,$459.55
1218,Feb 26,Azul Airlines Market BuyFeb 26,$45.402 shares at $22.70,$45.402,$22.70
1219,Feb 26,Autodesk Market BuyFeb 26,$97.670.35 shares at $279.06,$97.670.35,$279.06
1220,Feb 26,Pfizer Market BuyFeb 26,$100.913 shares at $33.64,$100.913,$33.64
1221,Feb 26,Merck Market BuyFeb 26,$73.821 share at $73.82,$73.82,$73.82
1222,Feb 26,Johnson & Johnson Market BuyFeb 26,$79.960.5 shares at $159.92,$79.960.5,$159.92
1223,Feb 26,National Grid Market BuyFeb 26,$56.651 share at $56.65,$56.65,$56.65
1224,Feb 26,Procter & Gamble Market BuyFeb 26,$55.100.45 shares at $122.44,$55.100.45,$122.44
1225,Feb 25,Adobe Market BuyFeb 25,$45.920.1 shares at $459.20,$45.920.1,$459.20
1226,Feb 25,Snowflake Market BuyFeb 25,$25.880.1 shares at $258.80,$25.880.1,$258.80
1227,Feb 25,Apple Market BuyFeb 25,$61.100.5 shares at $122.20,$61.100.5,$122.20
1228,Feb 25,Microsoft Market BuyFeb 25,$115.070.5 shares at $230.14,$115.070.5,$230.14
1229,Feb 25,Amazon Market BuyFeb 25,"$310.130.1 shares at $3,101.30",$310.130.1,"$3,101.30"
1230,Feb 25,AMD Market BuyFeb 25,$82.911 share at $82.91,$82.91,$82.91
1231,Feb 25,NVIDIA Market BuyFeb 25,$54.230.1 shares at $542.30,$54.230.1,$542.30
1232,Feb 25,Adobe Market BuyFeb 25,$46.310.1 shares at $463.10,$46.310.1,$463.10
1233,Feb 25,Best Buy Market BuyFeb 25,$50.800.5 shares at $101.60,$50.800.5,$101.60
1234,Feb 25,Costco Market BuyFeb 25,$84.430.25 shares at $337.72,$84.430.25,$337.72
1235,Feb 24,Consolidated Edison Market BuyFeb 24,$66.871 share at $66.87,$66.87,$66.87
1236,Feb 24,Utilities Select Sector SPDR Fund Market BuyFeb 24,$180.593 shares at $60.20,$180.593,$60.20
1237,Feb 22,Adobe Market BuyFeb 22,$46.790.1 shares at $467.90,$46.790.1,$467.90
1238,Feb 22,Plug Power Market BuyFeb 22,$48.991 share at $48.99,$48.99,$48.99
1239,Feb 22,Entergy Market BuyFeb 22,$89.081 share at $89.08,$89.08,$89.08
1240,Feb 22,Pinnacle West Market BuyFeb 22,$73.371 share at $73.37,$73.37,$73.37
1241,Feb 22,Eversource Market BuyFeb 22,$78.511 share at $78.51,$78.51,$78.51
1242,Feb 22,American Electric Power Market BuyFeb 22,$75.771 share at $75.77,$75.77,$75.77
1243,Feb 22,Entergy Market BuyFeb 22,$89.901 share at $89.90,$89.90,$89.90
1244,Feb 22,Utilities Select Sector SPDR Fund Market BuyFeb 22,$119.642 shares at $59.82,$119.642,$59.82
1245,Feb 19,Akamai Market BuyFeb 19,$99.071 share at $99.07,$99.07,$99.07
1246,Feb 19,Johnson & Johnson Market BuyFeb 19,$81.970.5 shares at $163.94,$81.970.5,$163.94
1247,Feb 19,Adobe Market BuyFeb 19,$47.830.1 shares at $478.30,$47.830.1,$478.30
1248,Feb 19,Cisco Systems Market BuyFeb 19,$45.871 share at $45.87,$45.87,$45.87
1249,Feb 18,Plug Power Market BuyFeb 18,$51.831 share at $51.83,$51.83,$51.83
1250,Feb 17,Dominion Energy Market BuyFeb 17,$71.101 share at $71.10,$71.10,$71.10
1251,Feb 16,Shift Technologies Stop Loss SellFeb 16,$250.0025 shares at $10.00,$250.0025,$10.00
1252,Feb 16,Withdrawal to 360 CheckingFeb 16,"-$1,000.00",,
1253,Feb 16,Withdrawal to 360 CheckingFeb 16,"-$1,000.00",,
1254,Feb 12,Southwest Airlines Market SellFeb 12,$102.812 shares at $51.41,$102.812,$51.41
1255,Feb 12,Withdrawal to 360 CheckingFeb 12,-$500.00,,
1256,Feb 12,Withdrawal to 360 CheckingFeb 12,-$500.00,,
1257,Feb 11,Nestle Market SellFeb 11,$22.590.2 shares at $112.95,$22.590.2,$112.95
1258,Feb 11,Health Care Select Sector SPDR Fund Market SellFeb 11,$116.661 share at $116.66,$116.66,$116.66
1259,Feb 11,Cisco Systems Market SellFeb 11,$47.801 share at $47.80,$47.80,$47.80
1260,Feb 11,Dow Market SellFeb 11,$28.920.5 shares at $57.84,$28.920.5,$57.84
1261,Feb 11,AerCap Market SellFeb 11,$44.011 share at $44.01,$44.01,$44.01
1262,Feb 11,Sabre Market SellFeb 11,$12.231 share at $12.23,$12.23,$12.23
1263,Feb 11,Bloom Energy Market SellFeb 11,$20.100.5 shares at $40.20,$20.100.5,$40.20
1264,Feb 11,Desktop Metal Market SellFeb 11,$29.721 share at $29.72,$29.72,$29.72
1265,Feb 11,Tattooed Chef Market SellFeb 11,$72.183 shares at $24.06,$72.183,$24.06
1266,Feb 11,FLY Leasing Market SellFeb 11,$425.6040 shares at $10.64,$425.6040,$10.64
1267,Feb 11,Skyworks Market SellFeb 11,$46.430.25 shares at $185.72,$46.430.25,$185.72
1268,Feb 11,Apple Market SellFeb 11,$67.510.5 shares at $135.02,$67.510.5,$135.02
1269,Feb 11,Autodesk Market SellFeb 11,$30.280.1 shares at $302.80,$30.280.1,$302.80
1270,Feb 11,Amazon Market SellFeb 11,"$654.570.2 shares at $3,272.85",$654.570.2,"$3,272.85"
1271,Feb 11,Alphabet Class C Market SellFeb 11,"$416.450.2 shares at $2,082.25",$416.450.2,"$2,082.25"
1272,Feb 11,Sunrun Market SellFeb 11,$39.590.5 shares at $79.18,$39.590.5,$79.18
1273,Feb 11,GoodRx Market SellFeb 11,$39.930.7 shares at $57.04,$39.930.7,$57.04
1274,Feb 11,Bombardier Market SellFeb 11,$13.5126 shares at $0.5196,$13.5126,$0.5196
